# Unit-level expectations for the A1 comparison script (Appendix X, script 1), over the 250 extractor units before actor expansion.
# Outcomes: UNCHANGED (same heading text), STAY (unit stays in the section the plan maps its current top-level section to; heading renamed, so the script reports MOVED), MOVED (relocates elsewhere). No REMOVED: A1 performs no consolidation. Acknowledgements and Document History remain separate level-1 headings in A1.
old_section	new_section	outcome	units
(front matter)	(front matter)	UNCHANGED	1
Access Request Endpoint	Bulk Submissions	MOVED	11
Access Request Endpoint	Callback Completion	MOVED	1
Access Request Endpoint	Delegation and Acting Parties	MOVED	9
Access Request Endpoint	Submitting the Access Request	STAY	34
Access Request Endpoint	Task Lifecycle Details	MOVED	5
Access Request Service Processing Rules	Core Conformance	STAY	14
Authorization and Authentication	Checking the Task	STAY	3
Authorization and Authentication	Delegation and Acting Parties	MOVED	5
Authorization and Authentication	PDP Metadata, Endpoint Protection, and Interoperability Baseline	MOVED	2
Authorization and Authentication	Submitting the Access Request	MOVED	2
Callback Completion	Callback Completion	UNCHANGED	7
Completion Semantics	Approval and Re-evaluation	STAY	27
Completion Semantics	Bulk Submissions	MOVED	1
Design Rationale	Design Rationale	UNCHANGED	3
Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	6
Error Responses	Error Responses	UNCHANGED	1
Extensibility and Profiles	Extensibility and Profiles	UNCHANGED	6
Implementation Considerations	Implementation Considerations	UNCHANGED	3
Machine-Readable Forms	Machine-Readable Forms	UNCHANGED	5
OpenID Foundation Registry Considerations	OpenID Foundation Registry Considerations	UNCHANGED	1
PDP Processing Rules	Core Conformance	STAY	11
PEP Processing Rules	Core Conformance	STAY	16
Privacy Considerations	Privacy Considerations	UNCHANGED	3
Protocol Overview	Callback Completion	MOVED	1
Protocol Overview	Introduction	STAY	1
Requestable Denial Context	Machine-Readable Forms	MOVED	2
Requestable Denial Context	Requestable Denial	STAY	16
Security Considerations	Approval and Re-evaluation	MOVED	4
Security Considerations	Callback Completion	MOVED	1
Security Considerations	Checking the Task	MOVED	4
Security Considerations	Core Conformance	MOVED	2
Security Considerations	Delegation and Acting Parties	MOVED	1
Security Considerations	Denial Binding Alternatives	MOVED	4
Security Considerations	Introduction	MOVED	1
Security Considerations	PDP Metadata, Endpoint Protection, and Interoperability Baseline	MOVED	1
Security Considerations	Requestable Denial	MOVED	10
Security Considerations	Submitting the Access Request	MOVED	3
Task Status Endpoint	Bulk Submissions	MOVED	1
Task Status Endpoint	Cancellation	MOVED	7
Task Status Endpoint	Checking the Task	STAY	9
Task Status Endpoint	Task Lifecycle Details	MOVED	2
Terminology	Terminology	UNCHANGED	3

# Per-unit detail
start	end	old_section	new_section	outcome	keyword_occurrences
74	74	(front matter)	(front matter)	UNCHANGED	1
134	135	Terminology	Terminology	UNCHANGED	1
148	149	Terminology	Terminology	UNCHANGED	1
151	151	Terminology	Terminology	UNCHANGED	2
188	188	Protocol Overview	Introduction	STAY	1
192	192	Protocol Overview	Callback Completion	MOVED	1
196	196	Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	2
198	198	Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	1
202	202	Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	1
204	204	Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	2
206	206	Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	1
223	223	Discovery	PDP Metadata, Endpoint Protection, and Interoperability Baseline	STAY	2
227	227	Requestable Denial Context	Requestable Denial	STAY	1
229	229	Requestable Denial Context	Requestable Denial	STAY	2
233	234	Requestable Denial Context	Requestable Denial	STAY	2
236	237	Requestable Denial Context	Requestable Denial	STAY	2
239	240	Requestable Denial Context	Requestable Denial	STAY	2
242	243	Requestable Denial Context	Requestable Denial	STAY	6
245	246	Requestable Denial Context	Requestable Denial	STAY	2
248	249	Requestable Denial Context	Machine-Readable Forms	MOVED	1
251	252	Requestable Denial Context	Machine-Readable Forms	MOVED	2
256	256	Requestable Denial Context	Requestable Denial	STAY	2
258	258	Requestable Denial Context	Requestable Denial	STAY	2
261	261	Requestable Denial Context	Requestable Denial	STAY	2
263	263	Requestable Denial Context	Requestable Denial	STAY	1
294	294	Requestable Denial Context	Requestable Denial	STAY	1
298	298	Requestable Denial Context	Requestable Denial	STAY	5
300	300	Requestable Denial Context	Requestable Denial	STAY	1
302	302	Requestable Denial Context	Requestable Denial	STAY	1
304	304	Requestable Denial Context	Requestable Denial	STAY	1
308	308	Machine-Readable Forms	Machine-Readable Forms	UNCHANGED	2
313	313	Machine-Readable Forms	Machine-Readable Forms	UNCHANGED	5
315	315	Machine-Readable Forms	Machine-Readable Forms	UNCHANGED	2
319	319	Machine-Readable Forms	Machine-Readable Forms	UNCHANGED	1
321	321	Machine-Readable Forms	Machine-Readable Forms	UNCHANGED	1
335	336	Access Request Endpoint	Submitting the Access Request	STAY	1
338	339	Access Request Endpoint	Submitting the Access Request	STAY	2
341	342	Access Request Endpoint	Submitting the Access Request	STAY	2
344	345	Access Request Endpoint	Bulk Submissions	MOVED	2
347	347	Access Request Endpoint	Bulk Submissions	MOVED	1
348	348	Access Request Endpoint	Bulk Submissions	MOVED	1
349	349	Access Request Endpoint	Bulk Submissions	MOVED	1
350	350	Access Request Endpoint	Bulk Submissions	MOVED	1
