req	id	src_section	src_lines	kind	actor	condition	obligation	exceptions	dest	a1_dest	disposition	multi_actor	tag	note	text
REQ-001	S0-001	(front matter)	74	keyword	PEP	a Decision is denied and requestable	MUST NOT treat a denied decision as access (abstract statement of the core rule at 188 and 1155)	-	F	F	stay	no	core	Abstract; outside the section map; stays in front matter unchanged. Added in round 2 after the coverage check found it missing.	This specification defines an extension profile for the OpenID AuthZEN Authorization API that allows a Policy Enforcement Point (PEP) to submit an access request when an authorization decision is denied but requestable. The profile preserves the AuthZEN Authorization API decision model: a denied decision remains a denial and MUST NOT be treated as access. It adds a requestable denial context, an access request endpoint, a task handle for the asynchronous workflow that resolves a denial, and a re-evaluation completion mode that lets the Policy Decision Point remain authoritative at enforcement time after approval.
REQ-002	S1-041	Introduction	84	keyword-free	Editor	-	Lead-in sentence naming delegation, dynamic discovery, scope expansion, and long-running agent activity	-	B	B	move	no	non-normative	SECOND READER: this sentence ends in a colon introducing the scenario bullets at 86-89, which the plan sends to Appendix B while this lead-in stays in 1. Same split-list problem as S1-021; needs a rewording in PR A2 or the lead-in follows the bullets | round 2: lead-in and scenario bullets share A1 placement B; A2 decides whether a rewritten sentence returns to the Introduction	Modern systems increasingly require authorization decisions to evolve during ongoing execution due to delegation, dynamic resource discovery, scope expansion, and long-running agent activity:
REQ-003	S1-042	Introduction	86-89	keyword-free	Editor	-	Four motivating scenarios (AI agent, OAuth AS, gateway PEP, STS) illustrating requestable denials	-	B	B	move	no	non-normative	Four bullets; one unit each but they move together as a block per the plan Introduction row. Lead-in at 84 does not move with them - see S1-041 | A1 list rule (round 2): common A1 placement 1 with lead-in at 84; final dest B applied in A2 | round 2: lead-in and scenario bullets share A1 placement B; A2 decides whether a rewritten sentence returns to the Introduction	* An AI agent ... * An OAuth Authorization Server ... * A gateway acting as a PEP ... * A Security Token Service ... (four scenario bullets, 86-89)
REQ-004	S1-043	Introduction	95	keyword-free	Editor	-	Lead-in sentence introducing the six-step flow	-	1	1	stay	no	non-normative	SECOND READER: ends in a colon introducing the six-step list at 97-102 that PR A2 removes; the lead-in must be reworded or removed with it	This profile defines that protocol layer: a narrow, interoperable mechanism for requestable denials that applies uniformly to autonomous runtime callers and to user-facing approval flows.  The flow is:
REQ-005	S1-044	Introduction	97	keyword-free	PEP	-	Step 1: the PEP evaluates access using the AuthZEN Access Evaluation API	-	1	1	stay	no	non-normative	Procedure step; plan removes the whole six-step list in PR A2 once the diagram at 160-186 sits beside it	1.  The PEP evaluates access using the AuthZEN Access Evaluation API.
REQ-006	S1-045	Introduction	98	keyword-free	PDP	Denial can be resolved by a workflow capable of evaluating the request	Step 2: the PDP returns `decision: false` and a structured `access_request` object in the Decision Context	-	1	1	stay	no	non-normative	Procedure step; removed in PR A2. Normative counterpart is 227 and 229	2.  The PDP returns `decision: false` and a structured `access_request` object in the Decision Context when the denial can be resolved by a workflow capable of evaluating the request.
REQ-007	S1-046	Introduction	99	keyword-free	PEP	-	Step 3: the PEP submits an access request to the Access Request Endpoint	-	1	1	stay	no	non-normative	Procedure step; removed in PR A2	3.  The PEP submits an access request to the Access Request Endpoint.
REQ-008	S1-047	Introduction	100	keyword-free	ARS	-	Step 4: the Access Request Service returns an opaque task handle	-	1	1	stay	no	non-normative	Procedure step; removed in PR A2	4.  The Access Request Service returns an opaque task handle.
REQ-009	S1-048	Introduction	101	keyword-free	PEP	-	Step 5: the PEP can poll, receive a callback, or otherwise use the task handle to determine completion	-	1	1	stay	no	non-normative	Procedure step; removed in PR A2	5.  The PEP can poll the task, receive a callback, or otherwise use the task handle to determine completion.
REQ-010	S1-049	Introduction	102	keyword-free	PEP	Task is approved	Step 6: the PEP performs a new AuthZEN Authorization API evaluation; the PDP remains authoritative	-	1	1	stay	no	non-normative	Procedure step; removed in PR A2. Normative counterpart is 188 and {{completion-semantics}}	6.  When the task is approved, the PEP performs a new AuthZEN Authorization API evaluation; the PDP remains authoritative at enforcement time.
