removed_from	removed_text	survivor	note
985	MUST NOT submit an Access Request unless the denied Decision contains a `context.access_request` object.	PEP Processing, Recognize the Denial: MUST submit an Access Request only for an AuthZEN Decision with `decision` equal to `false` and a `context.access_request` object present (formerly 327)	survivor is stricter (both conditions); union unchanged
991	MUST use the `endpoint` from the denial context when present; otherwise it MUST use the `access_request_endpoint` from PDP metadata.	PEP Processing, Construct the Submission: merged with the `endpoint` definition's rule (formerly 238)	two MUSTs became two MUSTs; one keyword removed from the pair
992	MUST include `denial.expires_at` from `context.access_request.expires_at`.	`denial.expires_at` REQUIRED (formerly 375) plus the echo bullet in Construct the Submission	same obligation
994	SHOULD include an idempotency key for Access Request submissions.	A PEP SHOULD include an `Idempotency-Key` header (formerly 329), now in Construct the Submission	same
1002	MUST treat unknown task status values as not approved.	A PEP that receives an unknown status value MUST treat the task as not approved (formerly 540), now in Poll the Task	same
1009	MUST treat unknown `result.mode` values as not approved.	A PEP that receives an unknown `result.mode` value MUST treat the task as not approved and MUST NOT permit access (formerly 707), now in Handle Completion	survivor stricter
1010	When using Re-evaluation Mode, MUST include the returned `approval` object unchanged at `context.approval`.	The PEP MUST include the `approval` object unchanged at `context.approval`, including its `id`, timestamps, and any `state` (formerly 725), now in Re-evaluate	survivor more specific
1012	MUST NOT treat an Approval Result as authorizing any future Access Evaluation solely on the basis that the task reached `approved`; applicability is determined by the PDP.	A PEP MUST NOT treat an Approval Result as authorizing any future Access Evaluation solely on the basis that the Access Request was approved (formerly 800); the PDP remains responsible (formerly 802)	same
1026	MUST validate approval references presented during re-evaluation.	PDP Processing, Approval Verification: MUST resolve or verify the approval reference before using it (formerly 861)	survivor more specific
1027	MUST only consider an Approval Result applicable when the current evaluation request is within the approval scope recorded.	PDP Processing, Approval Scope: identical sentence (formerly 884)	identical
1042	MUST authenticate and authorize the PEP before accepting Access Request submissions.	ARS Processing, Protect the Endpoints: MUST authenticate the PEP or caller before accepting a submission or returning task status; MUST verify the caller is authorized (formerly 222)	survivor stricter
454	The Access Request Service MUST reject submissions received after `denial.expires_at`, after applying any clock-skew tolerance.	ARS Processing, Process a Submission: MUST reject submissions received after the verified `denial.expires_at` with `expired_denial`, after applying clock-skew tolerance (formerly 1046)	survivor adds the error code
249 and 383	The PEP MUST NOT decode, modify, or interpret this value (twice).	PEP Processing, Construct the Submission: MUST NOT decode, modify, or interpret `binding_token`; it returns the original PDP-issued value byte-for-byte as `denial.binding_token`	two statements became one
1305 to 1348 (deleted Part II example intro)	A deployment in which the PDP and Access Request Service share trusted state MAY instead omit `approval.state` and have the PDP resolve `approval.id` by server-side lookup.	Approval Result: The `approval` object MAY additionally include a `state` member (formerly 719); Approval State: `state` is required only when the PDP cannot resolve `approval.id`	permission already stated by the member definition
713	When `result.mode` is `reevaluate`, the result MUST include an `approval` member.	Approval Result definition: `approval`: REQUIRED when `result.mode` is `reevaluate`. Object.	presence stated once, in the definition; MUST became REQUIRED
